AMOUNT;p1_Fraud;p2_Fraud;p3_Fraud;p4_Fraud;p5_Fraud;CLASS
1;0.6580;0.7580;0.5080;0.5193;0.9580;G
39000;0.0692;0.1830;0.0755;0.2277;0.0830;G
1;0.6580;0.7580;0.5080;0.5193;0.9580;G
1;0.6580;0.7580;0.5080;0.5193;0.9580;G
610;0.6900;0.7900;0.9000;0.5300;0.9900;F
1;0.6580;0.7580;0.5080;0.5193;0.9580;G
100;0.6860;0.7860;0.5360;0.5287;0.9860;G
2000;0.6310;0.7310;0.4810;0.5103;0.9310;G
3000;0.3633;0.2360;0.3964;0.3453;0.4360;G
1;0.6580;0.7580;0.5080;0.5193;0.9580;G
1;0.6580;0.7580;0.5080;0.5193;0.9580;G
50;0.6810;0.7810;0.5310;0.5270;0.9810;G
335.2000;0.3380;0.6380;0.7618;0.4793;0.8380;F
1600;0.6910;0.7910;0.9009;0.5303;0.9910;F
688.9000;0.4910;0.5910;0.3410;0.4637;0.7910;G
1;0.6580;0.7580;0.5080;0.5193;0.9580;G
650;0.5970;0.6970;0.4470;0.4990;0.8970;G
3000;0.3692;0.2430;0.4027;0.3477;0.4430;G
19730;0.6790;0.7790;0.5290;0.5263;0.9790;G
1;0.6580;0.7580;0.5080;0.5193;0.9580;G
2000;0.6800;0.7800;0.5300;0.5267;0.9800;G
1;0.6580;0.7580;0.5080;0.5193;0.9580;G
3000;0.6900;0.7900;0.9000;0.5300;0.9900;F
49134.8000;0.1167;0.2400;0.1273;0.2467;0.1400;G
24809.5000;0.6910;0.7910;0.5410;0.5303;0.9910;G
2000;0.6800;0.7800;0.5300;0.5267;0.9800;G
;0.5610;0.6610;0.4110;0.4870;0.8610;G
3000;0.6910;0.7910;0.9009;0.5303;0.9910;F
1;0.6580;0.7580;0.5080;0.5193;0.9580;G
35;0.5270;0.6270;0.3770;0.4757;0.8270;G
3000;0.3650;0.2380;0.3982;0.3460;0.4380;G
45000;0.6860;0.7860;0.5360;0.5287;0.9860;G
100;0.6780;0.7780;0.5280;0.5260;0.9780;G
250;0.6900;0.7900;0.9000;0.5300;0.9900;F
;0.6900;0.7900;0.5400;0.5300;0.9900;G
0;0.6910;0.7910;0.9009;0.5303;0.9910;F
250;0.6910;0.7910;0.5410;0.5303;0.9910;G
20;0.6810;0.7810;0.5310;0.5270;0.9810;G
212785.1600;0.6780;0.7780;0.5280;0.5260;0.9780;G
0;0.4300;0.5300;0.2800;0.4433;0.7300;G
1;0.6810;0.7810;0.5310;0.5270;0.9810;G
35;0.6290;0.7290;0.4790;0.5097;0.9290;G
100;0.3233;0.4880;0.3527;0.3293;0.3880;F
27750;0.6840;0.7840;0.5340;0.5280;0.9840;G
9500;0.0425;0.1510;0.0464;0.2170;0.0510;G
35;0.6830;0.7830;0.5330;0.5277;0.9830;G
19470.8700;0.1367;0.2640;0.1491;0.2547;0.1640;G
77000;0.6730;0.7730;0.5230;0.9730;0.9730;G
40800;0.6360;0.7360;0.4860;0.5120;0.9360;G
235;0.6780;0.7780;0.5280;0.5260;0.9780;G
8800;0.0492;0.1590;0.0536;0.2197;0.0590;G
3000;0.3633;0.2360;0.3964;0.3453;0.4360;G
74068.0800;0.0850;0.2020;0.0927;0.2340;0.1020;G
13958.1000;0.6800;0.7800;0.5300;0.5267;0.9800;G
3682.8800;0.0500;0.1600;0.0545;0.2200;0.0600;G
1;0.3960;0.4960;0.2460;0.4320;0.6960;G
10;0.2600;0.3600;0.5091;0.3867;0.5600;F
10;0.3500;0.4500;0.5909;0.4167;0.6500;F
0;0.6540;0.7540;0.5040;0.5180;0.9540;G
;0.3042;0.4650;0.3318;0.3217;0.3650;G
;0.6840;0.7840;0.5340;0.5280;0.9840;G
133.9200;0.0075;0.1090;0.0082;0.2030;0.0090;G
50;0.2680;0.3680;0.5164;0.3893;0.5680;F
2385.6500;0.6770;0.7770;0.5270;0.5257;0.9770;G
;0.6820;0.7820;0.5320;0.5273;0.9820;G
3000;0.3633;0.2360;0.3964;0.3453;0.4360;G
7000;0.1783;0.3140;0.1945;0.2713;0.2140;G
250;0.6760;0.7760;0.5260;0.5253;0.9760;G
100;0.6900;0.7900;0.5400;0.5300;0.9900;G
500;0.6900;0.7900;0.5400;0.5300;0.9900;G
55420;0.1675;0.3010;0.1827;0.2670;0.2010;G
3000;0.0808;0.1970;0.0882;0.2323;0.0970;G
6.2800;0.2558;0.4070;0.2791;0.3023;0.3070;G
3000;0.3633;0.2360;0.3964;0.3453;0.4360;G
10;0.6900;0.7900;0.5400;0.5300;0.9900;G
3000;0.1458;0.2750;0.1591;0.2583;0.1750;G
;0.6210;0.7210;0.4710;0.5070;0.9210;G
281000;0.3292;0.4950;0.3591;0.3317;0.3950;G
55426.2800;0.1617;0.2940;0.1764;0.2647;0.1940;G
100;0.6780;0.7780;0.8891;0.5260;0.9780;F
3000;0.1650;0.2980;0.1800;0.2660;0.1980;G
1000;0.6900;0.7900;0.5400;0.5300;0.9900;G
0;0.5830;0.6830;0.4330;0.4943;0.8830;G
5456.2800;0.0775;0.1930;0.0845;0.2310;0.0930;G
3000;0.6650;0.7650;0.5150;0.5217;0.9650;G
2000;0.0733;0.1880;0.0800;0.2293;0.0880;G
1000.0200;0.0575;0.1690;0.0627;0.2230;0.0690;G
;0.6860;0.7860;0.5360;0.5287;0.9860;G
3000;0.2020;0.3020;0.4564;0.3673;0.5020;G
;0.6840;0.7840;0.5340;0.5280;0.9840;G
300;0.6910;0.7910;0.5410;0.5303;0.9910;G
;0.0525;0.1630;0.0573;0.2210;0.0630;G
25000;0.6900;0.7900;0.5400;0.5300;0.9900;G
25000;0.6920;0.7920;0.5420;0.5307;0.9920;G
2520;0.3220;0.4220;0.1720;0.4073;0.6220;G
70;0.6770;0.7770;0.5270;0.5257;0.9770;G
;0.0517;0.1620;0.0564;0.2207;0.0620;G
100;0.6900;0.7900;0.5400;0.5300;0.9900;G
;0.6940;0.7940;0.5440;0.5313;0.9940;G
455000;0.4075;0.2890;0.4445;0.3630;0.4890;G
;0.6940;0.7940;0.5440;0.5313;0.9940;G
138589.9000;0.2350;0.5350;0.6682;0.4450;0.7350;F
45300;0.6780;0.7780;0.5280;0.5260;0.9780;G
0;0.6900;0.7900;0.5400;0.5300;0.9900;G
10;0.6810;0.7810;0.5310;0.5270;0.9810;G
281000;0.3242;0.4890;0.3536;0.3297;0.3890;G
360;0.6910;0.7910;0.5410;0.5303;0.9910;G
0;0.6910;0.7910;0.9009;0.5303;0.9910;F
4;0.6270;0.7270;0.4770;0.5090;0.9270;G
0;0.6560;0.7560;0.5060;0.9560;0.9560;G
0;0.1308;0.2570;0.1427;0.2523;0.1570;G
500;0.6800;0.7800;0.5300;0.5267;0.9800;G
2350;0.6810;0.7810;0.5310;0.5270;0.9810;G
;0.6640;0.7640;0.5140;0.9640;0.9640;G
0;0.2633;0.4160;0.2873;0.3053;0.3160;G
500;0.5540;0.6540;0.4040;0.4847;0.8540;G
3000;0.1625;0.2950;0.1773;0.2650;0.1950;G
2000;0.3520;0.4520;0.2020;0.4173;0.6520;G
5000;0.1142;0.2370;0.1245;0.2457;0.1370;F
350;0.6910;0.7910;0.5410;0.5303;0.9910;G
0;0.4300;0.5300;0.2800;0.4433;0.7300;G
;0.6830;0.7830;0.8936;0.5277;0.9830;F
15000;0.6890;0.7890;0.5390;0.5297;0.9890;G
3000;0.1583;0.2900;0.1727;0.2633;0.1900;G
;0.1250;0.2500;0.1364;0.2500;0.1500;G
5000;0.5360;0.6360;0.3860;0.4787;0.8360;G
461000;0.4300;0.5300;0.2800;0.4433;0.7300;G
39.5200;0.3942;0.2730;0.4300;0.3577;0.4730;G
3000;0.0767;0.1920;0.0836;0.2307;0.0920;G
3000;0.3240;0.4240;0.1740;0.4080;0.6240;G
5000;0.6150;0.7150;0.4650;0.5050;0.9150;G
76877.7400;0.0217;0.1260;0.0236;0.2087;0.0260;G
37.5500;0.4075;0.2890;0.4445;0.3630;0.4890;G
29472.9200;0.1200;0.2440;0.1309;0.2480;0.1440;G
0;0.6900;0.7900;0.5400;0.5300;0.9900;G
5000;0.6770;0.7770;0.5270;0.5257;0.9770;G
500;0.6390;0.7390;0.4890;0.5130;0.9390;G
24809.5000;0.6930;0.7930;0.5430;0.5310;0.9930;G
100;0.6910;0.7910;0.5410;0.5303;0.9910;G
50.8300;0.3030;0.4030;0.1530;0.4010;0.6030;G
50.8300;0.3070;0.4070;0.1570;0.4023;0.6070;G
10;0.3410;0.4410;0.5827;0.4137;0.6410;F
50.8300;0.3290;0.4290;0.1790;0.4097;0.6290;G
94000;0.3958;0.2750;0.4318;0.3583;0.4750;G
50.8300;0.3400;0.4400;0.1900;0.4133;0.6400;G
0;0.3333;0.5000;0.3636;0.3333;0.4000;G
300;0.6900;0.7900;0.5400;0.5300;0.9900;G
8.2900;0.3400;0.4400;0.1900;0.4133;0.6400;G
3000;0.3170;0.4170;0.1670;0.4057;0.6170;G
8.2900;0.3570;0.4570;0.2070;0.4190;0.6570;G
0;0.3067;0.4680;0.1680;0.3227;0.3680;G
4500;0.0975;0.2170;0.1064;0.2390;0.1170;G
500;0.0917;0.2100;0.1000;0.2367;0.1100;G
;0.6900;0.7900;0.5400;0.5300;0.9900;G
150;0.2817;0.4380;0.3073;0.3127;0.3380;F
8.2900;0.3570;0.4570;0.2070;0.4190;0.6570;G
11.9100;0.6880;0.7880;0.5380;0.5293;0.9880;G
25000;0.6840;0.7840;0.5340;0.5280;0.9840;G
500;0.6850;0.7850;0.5350;0.5283;0.9850;G
15.5700;0.3570;0.4570;0.2070;0.4190;0.6570;G
0.0100;0.5310;0.6310;0.3810;0.4770;0.8310;G
0.0100;0.6310;0.7310;0.4810;0.5103;0.9310;G
2000;0.4400;0.5400;0.2900;0.4467;0.7400;G
0.0900;0.6830;0.7830;0.5330;0.5277;0.9830;G
155000.1700;0.1983;0.3380;0.2164;0.2793;0.2380;G
400;0.6770;0.7770;0.5270;0.5257;0.9770;G
15.5700;0.3570;0.4570;0.2070;0.4190;0.6570;G
15.5700;0.3570;0.4570;0.2070;0.4190;0.6570;G
;0.6910;0.7910;0.5410;0.5303;0.9910;G
100;0.6810;0.7810;0.5310;0.5270;0.9810;G
;0.3692;0.2430;0.2430;0.3477;0.4430;G
2000;0.6810;0.7810;0.5310;0.5270;0.9810;G
;0.6920;0.7920;0.5420;0.5307;0.9920;G
77701.2500;0.1125;0.2350;0.1227;0.2450;0.1350;F
400;0.6830;0.7830;0.5330;0.5277;0.9830;G
250;0.1042;0.2250;0.1136;0.2417;0.1250;G
600;0.3630;0.6630;0.7845;0.4877;0.8630;F
792;0.3680;0.4680;0.2180;0.4227;0.6680;G
1500;0.3150;0.5780;0.1780;0.3260;0.3780;F
1500;0.3600;0.6320;0.2320;0.3440;0.4320;F
300;0.0458;0.1550;0.0500;0.2183;0.0550;G
5000;0.2580;0.3580;0.5073;0.3860;0.5580;G
45000;0.6940;0.7940;0.5440;0.5313;0.9940;G
97757.3400;0.3470;0.4470;0.1970;0.4157;0.6470;G
35;0.6830;0.7830;0.5330;0.5277;0.9830;G
;0.6910;0.7910;0.5410;0.5303;0.9910;G
305;0.6910;0.7910;0.5410;0.5303;0.9910;G
200;0.6920;0.7920;0.5420;0.5307;0.9920;G
3000;0.3360;0.4360;0.1860;0.4120;0.6360;G
1;0.6700;0.7700;0.5200;0.5233;0.9700;G
1;0.6900;0.7900;0.5400;0.5300;0.9900;G
35612.8500;0.0725;0.1870;0.0791;0.2290;0.0870;G
150;0.2117;0.3540;0.2309;0.2847;0.2540;G
1000;0.6920;0.7920;0.5420;0.5307;0.9920;G
;0.6620;0.7620;0.5120;0.9620;0.9620;G
3000;0.3170;0.4170;0.1670;0.4057;0.6170;G
140;0.4020;0.7020;0.8200;0.5007;0.9020;F
0;0.4720;0.5720;0.3220;0.4573;0.7720;G
6000;0.6910;0.7910;0.5410;0.5303;0.9910;G
0;0.3933;0.2720;0.4291;0.3573;0.4720;G
5000;0.4130;0.7130;0.8300;0.5043;0.9130;F
2385.6500;0.6910;0.7910;0.5410;0.5303;0.9910;G
509535.5300;0.4030;0.7030;0.8209;0.5010;0.9030;F
50;0.1258;0.2510;0.1373;0.2503;0.1510;G
;0.6910;0.7910;0.5410;0.5303;0.9910;G
4000;0.2700;0.3700;0.5182;0.3900;0.5700;G
3000;0.3170;0.4170;0.1670;0.4057;0.6170;G
;0.6900;0.7900;0.5400;0.5300;0.9900;G
7295;0.4010;0.7010;0.8191;0.5003;0.9010;F
;0.5950;0.6950;0.4450;0.4983;0.8950;G
100;0.3425;0.2110;0.3736;0.3370;0.4110;G
2000;0.1675;0.3010;0.0010;0.2670;0.2010;G
99000;0.6520;0.7520;0.5020;0.9520;0.9520;G
20397.3200;0.4240;0.5240;0.2740;0.4413;0.7240;G
500;0.6910;0.7910;0.5410;0.5303;0.9910;G
117200;0.6240;0.7240;0.4740;0.5080;0.9240;G
0;0.3342;0.2010;0.3645;0.3337;0.4010;G
180;0.2950;0.4540;0.3218;0.3180;0.3540;G
1000;0.6900;0.7900;0.5400;0.5300;0.9900;G
70;0.6920;0.7920;0.5420;0.5307;0.9920;G
4000;0.0292;0.1350;0.0318;0.2117;0.0350;G
930;0.0692;0.1830;0.0755;0.2277;0.0830;G
3000;0.3410;0.4410;0.1910;0.4137;0.6410;G
8000;0.4158;0.2990;0.4536;0.3663;0.4990;G
5000;0.0533;0.1640;0.0582;0.2213;0.0640;G
50;0.1050;0.2260;0.1145;0.2420;0.1260;G
3200;0.4117;0.2940;0.4491;0.3647;0.4940;F
7500;0.6950;0.7950;0.9045;0.5317;0.9950;F
36157.9200;0.0733;0.1880;0.0800;0.2293;0.0880;F
6000;0.0075;0.1090;0.0082;0.2030;0.0090;G
674;0.2150;0.3580;0.2345;0.2860;0.2580;F
61;0.1650;0.2980;0.1800;0.2660;0.1980;G
7000;0.0075;0.1090;0.0082;0.2030;0.0090;G
0;0.6730;0.7730;0.5230;0.5243;0.9730;G
1600;0.0692;0.1830;0.0755;0.2277;0.0830;G
75800;0.6690;0.7690;0.5190;0.5230;0.9690;G
;0.4110;0.7110;0.8282;0.5037;0.9110;F
200;0.3333;0.5000;0.3636;0.3333;0.4000;G
3000;0.3550;0.4550;0.2050;0.4183;0.6550;G
24500;0.2442;0.3930;0.2664;0.2977;0.2930;G
692;0.2340;0.5340;0.6673;0.4447;0.7340;F
41400;0.6900;0.7900;0.5400;0.5300;0.9900;G
;0.3140;0.4140;0.5582;0.4047;0.6140;F
0;0.6880;0.7880;0.5380;0.5293;0.9880;G
10;0.3070;0.4070;0.1570;0.4023;0.6070;G
692;0.5640;0.6640;0.7855;0.4880;0.8640;F
0;0.5150;0.6150;0.3650;0.4717;0.8150;G
84825;0.6760;0.7760;0.5260;0.9760;0.9760;G
1;0.3930;0.4930;0.2430;0.4310;0.6930;G
0;0.6820;0.7820;0.5320;0.9820;0.9820;G
0;0.5350;0.6350;0.3850;0.4783;0.8350;G
3000;0.4380;0.7380;0.8527;0.5127;0.9380;F
48.5500;0.2980;0.3980;0.5436;0.3993;0.5980;G
3000;0.3710;0.4710;0.2210;0.4237;0.6710;G
49000;0.3860;0.4860;0.2360;0.4287;0.6860;G
2069;0.4750;0.7750;0.8864;0.5250;0.9750;F
670;0.1608;0.2930;0.1755;0.2643;0.1930;F
;0.6330;0.7330;0.4830;0.5110;0.9330;G
4500;0.4210;0.7210;0.8373;0.5070;0.9210;F
70;0.4740;0.7740;0.8855;0.5247;0.9740;F
3000;0.5030;0.6030;0.3530;0.4677;0.8030;G
25000;0.1990;0.4990;0.6355;0.4330;0.6990;F
1280;0.3190;0.6190;0.7445;0.4730;0.8190;F
3009.8300;0.2980;0.3980;0.5436;0.3993;0.5980;G
178;0.6910;0.7910;0.9009;0.5303;0.9910;F
4100;0.6900;0.7900;0.5400;0.5300;0.9900;G
0;0.6900;0.7900;0.5400;0.5300;0.9900;G
100;0.6900;0.7900;0.5400;0.5300;0.9900;G
70;0.6870;0.7870;0.8973;0.5290;0.9870;F
2888.2800;0.2590;0.3590;0.5082;0.3863;0.5590;G
3000;0.3710;0.4710;0.2210;0.4237;0.6710;G
6000;0.0500;0.1600;0.0545;0.2200;0.0600;G
976;0.2760;0.3760;0.5236;0.3920;0.5760;G
3000;0.4710;0.7710;0.8827;0.5237;0.9710;F
6003.3400;0.2592;0.4110;0.2827;0.3037;0.3110;G
;0.3950;0.4950;0.2450;0.4317;0.6950;G
42413;0.6870;0.7870;0.5370;0.5290;0.9870;G
100;0.3700;0.4700;0.2200;0.4233;0.6700;G
;0.3200;0.4840;0.3491;0.3280;0.3840;G
5000;0.0258;0.1310;0.0282;0.2103;0.0310;G
3000;0.6920;0.7920;0.9018;0.5307;0.9920;F
9000;0.6850;0.7850;0.8955;0.5283;0.9850;F
0;0.4920;0.5920;0.3420;0.4640;0.7920;G
49500;0.6880;0.7880;0.5380;0.5293;0.9880;G
800;0.0750;0.1900;0.0818;0.2300;0.0900;G
347.8000;0.1375;0.2650;0.1500;0.2550;0.1650;G
3000;0.6920;0.7920;0.9018;0.5307;0.9920;F
0;0.5940;0.6940;0.4440;0.4980;0.8940;G
5000;0.6920;0.7920;0.9018;0.5307;0.9920;F
100;0.6910;0.7910;0.5410;0.5303;0.9910;G
5000;0.5510;0.6510;0.4010;0.4837;0.8510;G
100;0.5780;0.6780;0.4280;0.4927;0.8780;G
3000;0.6870;0.7870;0.5370;0.5290;0.9870;G
1300;0.1792;0.3150;0.1955;0.2717;0.2150;G
449;0.0083;0.1100;0.0091;0.2033;0.0100;G
;0.6900;0.7900;0.5400;0.5300;0.9900;G
;0.0658;0.1790;0.0718;0.2263;0.0790;G
29361;0.3142;0.4770;0.3427;0.3257;0.3770;G
31000;0.6910;0.7910;0.5410;0.5303;0.9910;G
3000;0.6930;0.7930;0.9027;0.5310;0.9930;F
50;0.5920;0.6920;0.4420;0.4973;0.8920;G
5000;0.1058;0.2270;0.1155;0.2423;0.1270;G
;0.5570;0.6570;0.4070;0.4857;0.8570;G
50;0.6540;0.7540;0.5040;0.5180;0.9540;G
1400;0.1233;0.2480;0.1345;0.2493;0.1480;G
50;0.6900;0.7900;0.5400;0.5300;0.9900;G
27000;0.1433;0.2720;0.1564;0.2573;0.1720;G
10;0.3150;0.4150;0.5591;0.4050;0.6150;F
288000;0.6910;0.7910;0.5410;0.5303;0.9910;G
70;0.6900;0.7900;0.5400;0.5300;0.9900;G
5000;0.1958;0.3350;0.2136;0.2783;0.2350;G
120;0.6930;0.7930;0.9027;0.5310;0.9930;F
;0.6920;0.7920;0.5420;0.5307;0.9920;G
500;0.3783;0.2540;0.4127;0.3513;0.4540;G
3000;0.4740;0.7740;0.8855;0.5247;0.9740;F
1800;0.0075;0.1090;0.0082;0.2030;0.0090;G
191000;0.6790;0.7790;0.5290;0.5263;0.9790;G
67.0600;0.1650;0.4650;0.6045;0.4217;0.6650;F
2000;0.6870;0.7870;0.8973;0.5290;0.9870;F
70;0.4083;0.2900;0.4455;0.3633;0.4900;F
400;0.6890;0.7890;0.5390;0.5297;0.9890;G
149275.9400;0.2667;0.4200;0.2909;0.3067;0.3200;G
8;0.3290;0.4290;0.5718;0.4097;0.6290;F
68000.5500;0.5500;0.6500;0.4000;0.4833;0.8500;G
1300;0.2550;0.4060;0.2782;0.3020;0.3060;G
220;0.6940;0.7940;0.9036;0.5313;0.9940;F
;0.2825;0.4390;0.3082;0.3130;0.3390;G
;0.6720;0.7720;0.5220;0.9720;0.9720;G
65000;0.4420;0.7420;0.8564;0.5140;0.9420;F
52595.7700;0.2683;0.4220;0.2927;0.3073;0.3220;G
2000;0.6910;0.7910;0.5410;0.5303;0.9910;G
5000;0.6900;0.7900;0.5400;0.5300;0.9900;G
530;0.1692;0.3030;0.1845;0.2677;0.2030;G
69900;0.6900;0.7900;0.5400;0.5300;0.9900;G
200;0.4650;0.5650;0.3150;0.4550;0.7650;G
1000;0.2300;0.3760;0.2509;0.2920;0.2760;G
2500;0.6910;0.7910;0.9009;0.5303;0.9910;F
150;0.0683;0.1820;0.0745;0.2273;0.0820;G
5266;0.0358;0.1430;0.0391;0.2143;0.0430;F
3000;0.1940;0.4940;0.6309;0.4313;0.6940;F
63000;0.6550;0.7550;0.8682;0.5183;0.9550;F
0;0.6840;0.7840;0.5340;0.5280;0.9840;G
500;0.0800;0.1960;0.0873;0.2320;0.0960;G
400;0.1225;0.2470;0.1336;0.2490;0.1470;G
;0.6790;0.7790;0.5290;0.9790;0.9790;G
1400;0.2567;0.4080;0.2800;0.3027;0.3080;G
37548.5600;0.0167;0.1200;0.0182;0.2067;0.0200;G
0;0.6910;0.7910;0.5410;0.5303;0.9910;G
8000;0.6800;0.7800;0.5300;0.5267;0.9800;G
1;0.2650;0.3650;0.5136;0.3883;0.5650;F
3600;0.0308;0.1370;0.0336;0.2123;0.0370;F
3000;0.6910;0.7910;0.9009;0.5303;0.9910;F
1;0.1530;0.4530;0.5936;0.4177;0.6530;F
216.8200;0.4033;0.2840;0.4400;0.3613;0.4840;F
10;0.6570;0.7570;0.5070;0.5190;0.9570;G
10;0.6900;0.7900;0.5400;0.5300;0.9900;G
3148.4800;0.1658;0.2990;0.1809;0.2663;0.1990;G
;0.6930;0.7930;0.5430;0.5310;0.9930;G
3000;0.3800;0.2560;0.2560;0.3520;0.4560;G
17000;0.6520;0.7520;0.5020;0.9520;0.9520;G
1160;0.3570;0.4570;0.2070;0.4190;0.6570;G
20115.6400;0.0508;0.1610;0.0555;0.2203;0.0610;G
21.5200;0.2550;0.4060;0.2782;0.3020;0.3060;F
15000;0.6920;0.7920;0.9018;0.5307;0.9920;F
21.5200;0.2920;0.7920;0.3920;0.3973;0.5920;F
113;0.2367;0.3840;0.2582;0.2947;0.2840;G
;0.0283;0.1340;0.0309;0.2113;0.0340;G
500;0.6810;0.7810;0.5310;0.5270;0.9810;G
;0.6670;0.7670;0.8791;0.5223;0.9670;U
1500;0.4650;0.7650;0.8773;0.5217;0.9650;F
;0.0525;0.1630;0.0573;0.2210;0.0630;G
17000;0.6760;0.7760;0.5260;0.9760;0.9760;G
500;0.6910;0.7910;0.5410;0.5303;0.9910;G
1160;0.4240;0.5240;0.2740;0.4413;0.7240;G
;0.6930;0.7930;0.5430;0.5310;0.9930;G
500;0.6900;0.7900;0.5400;0.5300;0.9900;G
0;0.2658;0.4190;0.2900;0.3063;0.3190;G
2200;0.4710;0.7710;0.8827;0.5237;0.9710;F
262.2500;0.3333;0.5000;0.3636;0.3333;0.4000;G
1000;0.0850;0.2020;0.0927;0.2340;0.1020;G
3000;0.6930;0.7930;0.9027;0.5310;0.9930;F
0;0.6550;0.7550;0.5050;0.9550;0.9550;G
3.7600;0.3333;0.5000;0.3636;0.3333;0.4000;G
99000;0.6790;0.7790;0.5290;0.9790;0.9790;G
500;0.0850;0.2020;0.0927;0.2340;0.1020;G
;0.4530;0.5530;0.3030;0.4510;0.7530;G
;0.2070;0.3070;0.4609;0.3690;0.5070;G
1160;0.6300;0.7300;0.4800;0.5100;0.9300;G
2228;0.3425;0.2110;0.3736;0.3370;0.4110;G
2000;0.2458;0.3950;0.0950;0.2983;0.2950;G
100;0.0850;0.2020;0.0927;0.2340;0.1020;G
200;0.6800;0.7800;0.5300;0.5267;0.9800;G
0.0700;0.3458;0.2150;0.3773;0.3383;0.4150;G
3000;0.6950;0.7950;0.9045;0.5317;0.9950;F
23600;0.6910;0.7910;0.5410;0.5303;0.9910;G
;0.1742;0.3090;0.1900;0.2697;0.2090;F
13;0.3458;0.2150;0.3773;0.3383;0.4150;G
;0.3017;0.4620;0.3291;0.3207;0.3620;F
55204.7600;0.0150;0.1180;0.0164;0.2060;0.0180;G
3000;0.3860;0.4860;0.2360;0.4287;0.6860;G
300;0.0567;0.1680;0.0618;0.2227;0.0680;G
;0.6570;0.7570;0.5070;0.9570;0.9570;G
31775.4500;0.3940;0.4940;0.2440;0.4313;0.6940;G
3000;0.4640;0.5640;0.3140;0.4547;0.7640;G
150;0.3125;0.4750;0.3409;0.3250;0.3750;G
3150;0.2858;0.4430;0.3118;0.3143;0.3430;G
7000;0.0700;0.1840;0.0764;0.2280;0.0840;G
3000;0.6130;0.7130;0.4630;0.5043;0.9130;G
;0.3117;0.5740;0.1740;0.3247;0.3740;F
3000;0.6140;0.7140;0.4640;0.5047;0.9140;G
2500;0.6920;0.7920;0.9018;0.5307;0.9920;F
3000;0.6290;0.7290;0.4790;0.5097;0.9290;G
1007.6500;0.0633;0.1760;0.0691;0.2253;0.0760;G
;0.6850;0.7850;0.5350;0.5283;0.9850;G
;0.6790;0.7790;0.5290;0.9790;0.9790;G
3000;0.6330;0.7330;0.4830;0.5110;0.9330;G
3000;0.6330;0.7330;0.4830;0.5110;0.9330;G
3000;0.6920;0.7920;0.9018;0.5307;0.9920;F
46000;0.2442;0.3930;0.0930;0.2977;0.2930;G
3000;0.6420;0.7420;0.4920;0.5140;0.9420;G
3000;0.6420;0.7420;0.4920;0.5140;0.9420;G
403075.2700;0.0342;0.1410;0.0373;0.2137;0.0410;G
12100;0.2175;0.3610;0.2373;0.2870;0.2610;G
31750;0.6910;0.7910;0.5410;0.5303;0.9910;G
3000;0.6420;0.7420;0.4920;0.5140;0.9420;G
1554.2600;0.6420;0.7420;0.4920;0.5140;0.9420;G
;0.2875;0.4450;0.3136;0.3150;0.3450;G
2495;0.3460;0.4460;0.1960;0.4153;0.6460;G
100;0.6910;0.7910;0.5410;0.5303;0.9910;G
900;0.3867;0.2640;0.4218;0.3547;0.4640;G
2495;0.6420;0.7420;0.4920;0.5140;0.9420;G
35000;0.6890;0.7890;0.5390;0.5297;0.9890;G
6900;0.6570;0.7570;0.5070;0.5190;0.9570;G
0;0.6920;0.7920;0.5420;0.5307;0.9920;G
6900;0.6790;0.7790;0.5290;0.5263;0.9790;G
900;0.0992;0.2190;0.1082;0.2397;0.1190;G
5000;0.1408;0.2690;0.1536;0.2563;0.1690;G
6900;0.6910;0.7910;0.5410;0.5303;0.9910;G
5000;0.1000;0.2200;0.1091;0.2400;0.1200;G
200;0.6710;0.7710;0.5210;0.5237;0.9710;G
1555.4100;0.2200;0.3640;0.2400;0.2880;0.2640;G
6150;0.3150;0.4150;0.5591;0.4050;0.6150;F
707;0.0067;0.1080;0.0073;0.2027;0.0080;G
200;0.0733;0.1880;0.0800;0.2293;0.0880;G
5200;0.0767;0.1920;0.0836;0.2307;0.0920;G
283657.5000;0.2400;0.5400;0.6727;0.4467;0.7400;F
6000;0.2300;0.3760;0.2509;0.2920;0.2760;G
;0.3567;0.2280;0.3891;0.3427;0.4280;F
10;0.2140;0.5140;0.6491;0.4380;0.7140;F
98000.1100;0.1967;0.3360;0.2145;0.2787;0.2360;G
6000;0.6910;0.7910;0.9009;0.5303;0.9910;F
;0.1500;0.2800;0.1636;0.2600;0.1800;G
150;0.6880;0.7880;0.5380;0.5293;0.9880;G
200;0.0992;0.2190;0.1082;0.2397;0.1190;G
114757.0200;0.0133;0.1160;0.0145;0.2053;0.0160;G
210;0.6920;0.7920;0.5420;0.5307;0.9920;G
20;0.2580;0.3580;0.5073;0.3860;0.5580;F
20;0.2580;0.3580;0.5073;0.3860;0.5580;F
1;0.3667;0.2400;0.4000;0.3467;0.4400;F
1200;0.1292;0.2550;0.1409;0.2517;0.1550;G
1160;0.6940;0.7940;0.5440;0.5313;0.9940;G
499.4300;0.3500;0.2200;0.3818;0.3400;0.4200;G
3;0.5790;0.6790;0.4290;0.4930;0.8790;G
3;0.6040;0.7040;0.4540;0.5013;0.9040;G
200;0.0183;0.1220;0.0200;0.2073;0.0220;G
2900;0.6930;0.7930;0.9027;0.5310;0.9930;F
10;0.1517;0.2820;0.1655;0.2607;0.1820;G
